[2026-02-20 21:44:09] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Capsule Ball (fireworkcapsules:ball_capsule) | QTY: 1 | TOTAL: 1000 ₽
[2026-02-20 21:44:11] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Capsule Ball (fireworkcapsules:ball_capsule) | QTY: 1 | TOTAL: 1000 ₽
[2026-02-20 21:44:23] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Sac Large (cobblemon:large_poke_bag) | QTY: 1 | TOTAL: 5000 ₽
[2026-02-20 21:45:17] TYPE: PURCHASE | PLAYER: NexusLBC (9ae22cb0-438f-4dea-8318-cf8a0c296fc9) | ITEM: Album (academy:card_album) | QTY: 1 | TOTAL: 1000 ₽
[2026-02-21 03:22:57] TYPE: PURCHASE | PLAYER: CaptainZortak (a72da85a-7869-4663-9317-2d19a1823146) | ITEM: Sac Énorme (cobblemon:huge_poke_bag) | QTY: 1 | TOTAL: 8000 ₽
[2026-02-21 03:24:12] TYPE: PURCHASE | PLAYER: CaptainZortak (a72da85a-7869-4663-9317-2d19a1823146) | ITEM: Bracelet Mega (cobblemon:mega_bracelet) | QTY: 1 | TOTAL: 8000 ₽
[2026-02-21 03:24:38] TYPE: PURCHASE | PLAYER: CaptainZortak (a72da85a-7869-4663-9317-2d19a1823146) | ITEM: Bracelet Mega (cobblemon:mega_bracelet) | QTY: 1 | TOTAL: 8000 ₽
[2026-02-21 10:15:10] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Fossile Chromatique (academy:shiny_fossil) | QTY: 1 | TOTAL: 9000 ₽
[2026-02-21 10:15:10] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Fossile Chromatique (academy:shiny_fossil) | QTY: 1 | TOTAL: 9000 ₽
[2026-02-21 10:15:19] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Sticker : Feu (fireworkcapsules:fire_sticker) | QTY: 1 | TOTAL: 400 ₽
[2026-02-21 10:15:53] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Riz Zélé (cobblemon:hearty_grains) | QTY: 1 | TOTAL: 2000 ₽
[2026-02-21 10:15:53] TYPE: PURCHASE | PLAYER: MyNameIsDynosaur (889d96e0-9436-4b67-b7e2-cb74e2553344) | ITEM: Riz Zélé (cobblemon:hearty_grains) | QTY: 1 | TOTAL: 2000 ₽
[2026-02-22 16:00:27] TYPE: PURCHASE | PLAYER: Kallmelio (b54cd27b-0a77-4005-8c17-1634939ad846) | ITEM: PokéFinder (cobblenav:pokefinder_item_red) | QTY: 1 | TOTAL: 6000 ₽
