jar_path,metadata,mod_id,version,name,has_assets_academy,has_data_academy,has_safari_ticket_base
.fabric/processedMods/fabric-convention-tags-v2-2.11.1+a406e79519-b81fc8e0765a9c75.jar,fabric.mod.json,fabric-convention-tags-v2,2.11.1+a406e79519,Fabric Convention Tags (v2),False,False,False
.fabric/processedMods/fabric-crash-report-info-v1-0.2.+0af3f5a719-9292aeefe21ee5a7.jar,fabric.mod.json,fabric-crash-report-info-v1,0.2.29+0af3f5a719,Fabric Crash Report Info (v1),False,False,False
.fabric/processedMods/fabric-data-attachment-api-v1-1.+6116a37819-805fed3864c43642.jar,fabric.mod.json,fabric-data-attachment-api-v1,1.4.5+6116a37819,Fabric Data Attachment API (v1),False,False,False
.fabric/processedMods/fabric-data-generation-api-v1-20+37516cd619-1c5dd165e7dc5910.jar,fabric.mod.json,fabric-data-generation-api-v1,20.2.34+37516cd619,Fabric Data Generation API (v1),False,False,False
.fabric/processedMods/fabric-dimensions-v1-4.0.1+65213ef819-7097e002e73bf37.jar,fabric.mod.json,fabric-dimensions-v1,4.0.1+65213ef819,Fabric Dimensions API (v1),False,False,False
.fabric/processedMods/fabric-entity-events-v1-1.8.0+2b27e0a419-d6bf6adc5ffcd4f0.jar,fabric.mod.json,fabric-entity-events-v1,1.8.0+2b27e0a419,Fabric Entity Events (v1),False,False,False
.fabric/processedMods/fabric-events-interaction-v0-0.7+ba9dae0619-3c7ccce041c5169a.jar,fabric.mod.json,fabric-events-interaction-v0,0.7.13+ba9dae0619,Fabric Events Interaction (v0),False,False,False
.fabric/processedMods/fabric-game-rule-api-v1-1.0.53+6ced4dd919-d23cd9850ea4452e.jar,fabric.mod.json,fabric-game-rule-api-v1,1.0.53+6ced4dd919,Fabric Game Rule API (v1),False,False,False
.fabric/processedMods/fabric-item-api-v1-11.2.0+3b3cb2e819-e896de02285ffc9d.jar,fabric.mod.json,fabric-item-api-v1,11.2.0+3b3cb2e819,Fabric Item API (v1),False,False,False
.fabric/processedMods/fabric-item-group-api-v1-4.1.7+def88e3a19-ae22d5fa506a0c26.jar,fabric.mod.json,fabric-item-group-api-v1,4.1.7+def88e3a19,Fabric Item Group API (v1),False,False,False
.fabric/processedMods/fabric-lifecycle-events-v1-2.6.0+0865547519-b6a9009f976caa0d.jar,fabric.mod.json,fabric-lifecycle-events-v1,2.6.0+0865547519,Fabric Lifecycle Events (v1),False,False,False
.fabric/processedMods/fabric-loot-api-v2-3.0.15+3f89f5a519-a078cbf27aee7e81.jar,fabric.mod.json,fabric-loot-api-v2,3.0.15+3f89f5a519,Fabric Loot API (v2),False,False,False
.fabric/processedMods/fabric-loot-api-v3-1.0.3+3f89f5a519-5a07662f8d8c6c8c.jar,fabric.mod.json,fabric-loot-api-v3,1.0.3+3f89f5a519,Fabric Loot API (v3),False,False,False
.fabric/processedMods/fabric-message-api-v1-6.0.14+8aaf3aca19-2d421cca625ebe6a.jar,fabric.mod.json,fabric-message-api-v1,6.0.14+8aaf3aca19,Fabric Message API (v1),False,False,False
.fabric/processedMods/fabric-networking-api-v1-4.3.0+c7469b2119-e6dc189b85779bb0.jar,fabric.mod.json,fabric-networking-api-v1,4.3.0+c7469b2119,Fabric Networking API (v1),False,False,False
.fabric/processedMods/fabric-object-builder-api-v1-15.1+40875a9319-ec4a54934a1aeec.jar,fabric.mod.json,fabric-object-builder-api-v1,15.2.1+40875a9319,Fabric Object Builder API (v1),False,False,False
.fabric/processedMods/fabric-particles-v1-4.0.2+6573ed8c19-29589f51c24298cf.jar,fabric.mod.json,fabric-particles-v1,4.0.2+6573ed8c19,Fabric Particles (v1),False,False,False
.fabric/processedMods/fabric-permissions-api-v0-0.3.1-1fe598067d104722.jar,fabric.mod.json,fabric-permissions-api-v0,0.3.1,fabric-permissions-api,False,False,False
.fabric/processedMods/fabric-recipe-api-v1-5.0.15+2475392c19-4518a2c0f22b069e.jar,fabric.mod.json,fabric-recipe-api-v1,5.0.15+2475392c19,Fabric Recipe API (v1),False,False,False
.fabric/processedMods/fabric-registry-sync-v0-5.3.1+e3eddc2119-74dbe5c512a2e0de.jar,fabric.mod.json,fabric-registry-sync-v0,5.3.1+e3eddc2119,Fabric Registry Sync (v0),False,False,False
.fabric/processedMods/fabric-rendering-data-attachment+73761d2e19-8b0db90ccaf7b89f.jar,fabric.mod.json,fabric-rendering-data-attachment-v1,0.3.49+73761d2e19,Fabric Rendering Data Attachment (v1),False,False,False
.fabric/processedMods/fabric-rendering-fluids-v1-3.1.6+1daea21519-53167835bf0a6ba4.jar,fabric.mod.json,fabric-rendering-fluids-v1,3.1.6+1daea21519,Fabric Rendering Fluids (v1),False,False,False
.fabric/processedMods/fabric-resource-conditions-api-v+8dc279b119-f10cf29237fc85ac.jar,fabric.mod.json,fabric-resource-conditions-api-v1,4.3.0+8dc279b119,Fabric Resource Conditions API (v1),False,False,False
.fabric/processedMods/fabric-resource-loader-v0-1.3.1+5b5275af19-7967f5daeb655de2.jar,fabric.mod.json,fabric-resource-loader-v0,1.3.1+5b5275af19,Fabric Resource Loader (v0),False,False,False
.fabric/processedMods/fabric-screen-handler-api-v1-1.30+b559734419-32c7fa978584171.jar,fabric.mod.json,fabric-screen-handler-api-v1,1.3.90+b559734419,Fabric Screen Handler API (v1),False,False,False
.fabric/processedMods/fabric-simplelibs-2.0.0-3daf2da1aa2f2858.jar,fabric.mod.json,fabric-simplelibs,2.0.0,Simple Fabric Libs,False,False,False
.fabric/processedMods/fabric-transfer-api-v1-5.4.3+c24bd99419-41aa747f6ac125ee.jar,fabric.mod.json,fabric-transfer-api-v1,5.4.3+c24bd99419,Fabric Transfer API (v1),False,False,False
.fabric/processedMods/fabric-transitive-access-widener+45b9699719-52147a59382943ba.jar,fabric.mod.json,fabric-transitive-access-wideners-v1,6.2.0+45b9699719,Fabric Transitive Access Wideners (v1),False,False,False
.fabric/processedMods/io_netty_netty-codec-http-4.1.82-f0cf518e3fd664f.jar,fabric.mod.json,io_netty_netty-codec-http,4.1.82,netty-codec-http,False,False,False
.fabric/processedMods/io_wispforest_endec-0.1.5.1-75697be5e092a8c.jar,fabric.mod.json,io_wispforest_endec,0.1.5.1,endec,False,False,False
.fabric/processedMods/io_wispforest_endec_gson-0.1.3.1-4c8fadc82a7ce88e.jar,fabric.mod.json,io_wispforest_endec_gson,0.1.3.1,gson,False,False,False
.fabric/processedMods/io_wispforest_endec_jankson-0.1.3.1-cbb9f6bc792816b1.jar,fabric.mod.json,io_wispforest_endec_jankson,0.1.3.1,jankson,False,False,False
.fabric/processedMods/io_wispforest_endec_netty-0.1.2-a36115128c438577.jar,fabric.mod.json,io_wispforest_endec_netty,0.1.2,netty,False,False,False
.fabric/processedMods/journeymap-api-fabric-2.0.0-1.21.1-SNAPSHOT-75023d8ff5b4b7d6.jar,fabric.mod.json,journeymap-api-fabric,2.0.0-1.21.1-SNAPSHOT,JourneyMap API,False,False,False
.fabric/processedMods/kuma_api-21.0.7-85162cd9f19b3d27.jar,fabric.mod.json,kuma_api,21.0.7,KumaAPI,False,False,False
.fabric/processedMods/lavender-md-0.1.2+1.21-61607b64380746d.jar,fabric.mod.json,lavender-md,0.1.2+1.21,lavender-md,False,False,False
