path,filename,size_bytes,mtime_iso,sha1
.fabric/processedMods/com_twelvemonkeys_imageio_imageicore-3.12.0-3b260d8299c9b513.jar,com_twelvemonkeys_imageio_imageicore-3.12.0-3b260d8299c9b513.jar,120156,2026-03-06T17:08:49.504763,975f8ac59c197bc53027d541c9b4b39acc0f5a98
.fabric/processedMods/com_twelvemonkeys_imageio_imageiwebp-3.12.0-16e1ec7310cf986c.jar,com_twelvemonkeys_imageio_imageiwebp-3.12.0-16e1ec7310cf986c.jar,79961,2026-03-06T17:08:49.504763,13bf579b6052a8404c43c139824b514590f33656
.fabric/processedMods/commonnetworking-1.0.18-1.21.1-2c658b9b831f8082.jar,commonnetworking-1.0.18-1.21.1-2c658b9b831f8082.jar,26184,2026-03-06T17:08:49.504763,f5909e35db7184665c78328605d1f6832c687bea
.fabric/processedMods/fabric-api-base-0.4.42+6573ed8c19-6cc31b79285d508d.jar,fabric-api-base-0.4.42+6573ed8c19-6cc31b79285d508d.jar,31142,2026-03-06T17:08:49.504763,f0434ab76951441540b1f7b49ab744e52db8c78d
.fabric/processedMods/fabric-api-lookup-api-v1-1.6.71+b559734419-2e5b02b3872ee35.jar,fabric-api-lookup-api-v1-1.6.71+b559734419-2e5b02b3872ee35.jar,53269,2026-03-06T17:08:49.504763,5d5d1b763b1a7ac43670cc934ebc7cfbb6c5d7cf
.fabric/processedMods/fabric-biome-api-v1-13.0.31+d527f9fd19-a02c9042f0a4c56d.jar,fabric-biome-api-v1-13.0.31+d527f9fd19-a02c9042f0a4c56d.jar,83168,2026-03-06T17:08:49.504763,544d7f446d140923bbc3c73cf365383c6f4fe1dd
.fabric/processedMods/fabric-block-api-v1-1.1.0+0bc3503219-7cf5a91ca7d57cf1.jar,fabric-block-api-v1-1.1.0+0bc3503219-7cf5a91ca7d57cf1.jar,19509,2026-03-06T17:08:49.504763,913b294a8bdb624517c93c4c1f691d3f36b931e4
.fabric/processedMods/fabric-block-view-api-v2-1.0.11+ebb2264e19-ad7c0f2660955aed.jar,fabric-block-view-api-v2-1.0.11+ebb2264e19-ad7c0f2660955aed.jar,24215,2026-03-06T17:08:49.504763,cbea92ce9fa6f95a4fe77191f4a6047bc2d3d6ff
.fabric/processedMods/fabric-command-api-v1-1.2.49+f71b366f19-bce6999b0a6af791.jar,fabric-command-api-v1-1.2.49+f71b366f19-bce6999b0a6af791.jar,13863,2026-03-06T17:08:49.504763,e9b86d9765b5cfb0ddbb9c3093cdaf4b70a76e95
.fabric/processedMods/fabric-command-api-v2-2.2.28+6ced4dd919-3643a08b494f099b.jar,fabric-command-api-v2-2.2.28+6ced4dd919-3643a08b494f099b.jar,37865,2026-03-06T17:08:49.504763,1df0ca58d71ad7938ebb52ef6051179b7e308198
.fabric/processedMods/fabric-commands-v0-0.2.66+df3654b319-17d79dd89339968c.jar,fabric-commands-v0-0.2.66+df3654b319-17d79dd89339968c.jar,11371,2026-03-06T17:08:49.504763,7e08f970c85f7ccf4c156d373b8372cded28546f
.fabric/processedMods/fabric-content-registries-v0-8.0+b559734419-7b4f1de3ee451257.jar,fabric-content-registries-v0-8.0+b559734419-7b4f1de3ee451257.jar,60220,2026-03-06T17:08:49.508763,2deaa93c157eb61c5236d876fc5b745dc90c83ed
.fabric/processedMods/fabric-convention-tags-v1-2.1.5+7f945d5b19-d458004c8b78bbda.jar,fabric-convention-tags-v1-2.1.5+7f945d5b19-d458004c8b78bbda.jar,33813,2026-03-06T17:08:49.508763,8b74ce613e9173ef4b9702f6b8e4208fc9087834
.fabric/processedMods/fabric-convention-tags-v2-2.11.1+a406e79519-b81fc8e0765a9c75.jar,fabric-convention-tags-v2-2.11.1+a406e79519-b81fc8e0765a9c75.jar,274982,2026-03-06T17:08:49.508763,9038c42a650a1ad19bd218b1f355ee6c2f570208
.fabric/processedMods/fabric-crash-report-info-v1-0.2.+0af3f5a719-9292aeefe21ee5a7.jar,fabric-crash-report-info-v1-0.2.+0af3f5a719-9292aeefe21ee5a7.jar,14248,2026-03-06T17:08:49.508763,664d9fc248238d3461dceda2c355113e2fd7907e
.fabric/processedMods/fabric-data-attachment-api-v1-1.+6116a37819-805fed3864c43642.jar,fabric-data-attachment-api-v1-1.+6116a37819-805fed3864c43642.jar,96856,2026-03-06T17:08:49.508763,314ab36ad11c3b3d0d3788ef84cccd1a30fcb390
.fabric/processedMods/fabric-data-generation-api-v1-20+37516cd619-1c5dd165e7dc5910.jar,fabric-data-generation-api-v1-20+37516cd619-1c5dd165e7dc5910.jar,109117,2026-03-06T17:08:49.508763,61e3008c8d096b8e7c99c191d4615d4eed49d45d
.fabric/processedMods/fabric-dimensions-v1-4.0.1+65213ef819-7097e002e73bf37.jar,fabric-dimensions-v1-4.0.1+65213ef819-7097e002e73bf37.jar,22514,2026-03-06T17:08:49.508763,cf41ea78d71bd3f5a54b7673bfc57d261c484977
.fabric/processedMods/fabric-entity-events-v1-1.8.0+2b27e0a419-d6bf6adc5ffcd4f0.jar,fabric-entity-events-v1-1.8.0+2b27e0a419-d6bf6adc5ffcd4f0.jar,73738,2026-03-06T17:08:49.508763,105a406d748aa09b8d6c165df77f144629c53eda
.fabric/processedMods/fabric-events-interaction-v0-0.7+ba9dae0619-3c7ccce041c5169a.jar,fabric-events-interaction-v0-0.7+ba9dae0619-3c7ccce041c5169a.jar,64954,2026-03-06T17:08:49.512763,3eaf88eeb476aa12da228d2d0c80c2ef0d4ca47a
.fabric/processedMods/fabric-game-rule-api-v1-1.0.53+6ced4dd919-d23cd9850ea4452e.jar,fabric-game-rule-api-v1-1.0.53+6ced4dd919-d23cd9850ea4452e.jar,54972,2026-03-06T17:08:49.512763,a331e79cee4ac71d5476ce586c516ac319b128ba
.fabric/processedMods/fabric-item-api-v1-11.2.0+3b3cb2e819-e896de02285ffc9d.jar,fabric-item-api-v1-11.2.0+3b3cb2e819-e896de02285ffc9d.jar,65550,2026-03-06T17:08:49.512763,5a46e6fe358700eb480b5cb884da70a2757c6aff
.fabric/processedMods/fabric-item-group-api-v1-4.1.7+def88e3a19-ae22d5fa506a0c26.jar,fabric-item-group-api-v1-4.1.7+def88e3a19-ae22d5fa506a0c26.jar,60401,2026-03-06T17:08:49.512763,26f345aec49152e3a7e61dabe962982aa8732754
.fabric/processedMods/fabric-lifecycle-events-v1-2.6.0+0865547519-b6a9009f976caa0d.jar,fabric-lifecycle-events-v1-2.6.0+0865547519-b6a9009f976caa0d.jar,103866,2026-03-06T17:08:49.512763,d199d3b38b3ff4915a62cba51dfc9f8281bc046f
