species_id,in_datapacks,in_jars,in_scripts,in_configs,spawn_files_datapacks,spawn_files_jars,script_refs,config_refs
cobblemon:duraludon,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0884_duraludon.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:dustox,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0269_dustox.json,,,
cobblemon:eevee,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0133_eevee.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:ekans,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:electabuzz,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:emboar,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:empoleon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:espeon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:farfetchd,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:fearow,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:fennekin,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:feraligatr,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:finizen,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:flareon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/enhanced_celestials.json | safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:floragato,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:fluttermane,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0987_fluttermane.json,,,
cobblemon:frigibax,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0996_frigibax.json,,,
cobblemon:froakie,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:frogadier,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:frosmoth,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0873_frosmoth.json,,,
cobblemon:gabite,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0444_gabite.json,,,
cobblemon:galvantula,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0596_galvantula.json,,,
cobblemon:garchomp,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0445_garchomp.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:gastly,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0092_gastly.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:gastrodon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:gengar,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0094_gengar.json,,,
cobblemon:geodude,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0074_geodude.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:gible,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0443_gible.json,,,
cobblemon:gimmighoul,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0999_gimmighoul.json,,,
cobblemon:glaceon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:gloom,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:golbat,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0042_golbat.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:golduck,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:golem,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0076_golem.json,,,
cobblemon:goodra,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:gougingfire,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/1020_gougingfire.json,,,
cobblemon:graveler,true,true,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0075_graveler.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:greattusk,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0984_greattusk.json,,,
cobblemon:greavard,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0971_greavard.json,,,
cobblemon:greninja,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:grimer,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0088_grimer_alolan.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:grookey,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:grotle,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:grovyle,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:growlithe,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0058_growlithe_hisuian.json,,,
cobblemon:grubbin,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0736_grubbin.json,,,
cobblemon:gulpin,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0316_gulpin.json,,,
cobblemon:guzzlord,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0799_guzzlord.json,,,
cobblemon:gyarados,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:happiny,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:haunter,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0093_haunter.json,,,
cobblemon:haxorous,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:heliolisk,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0695_heliolisk.json,,,
cobblemon:helioptile,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0694_helioptile.json,,,
cobblemon:hoppip,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:houndstone,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0972_houndstone.json,,,
cobblemon:hydreigon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:hypno,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:incinceroar,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:indeedee,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0876_indeedee.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:infernape,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:inteleon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:ironboulder,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/1022_ironboulder.json,,,
cobblemon:ironbundle,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0991_ironbundle.json,,,
cobblemon:ironcrown,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/1023_ironcrown.json,,,
cobblemon:ironhands,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0992_ironhands.json,,,
cobblemon:ironjugulis,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0993_ironjugulis.json,,,
cobblemon:ironleaves,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/1010_ironleaves.json,,,
cobblemon:ironmoth,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0994_ironmoth.json,,,
cobblemon:ironthorns,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0995_ironthorns.json,,,
cobblemon:irontreads,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/0990_irontreads.json,,,
cobblemon:ironvaliant,true,false,false,false,datapacks/CCC_1.9.2/data/paradox_spawns/spawn_pool_world/1006_ironvaliant.json,,,
cobblemon:ivysaur,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:jigglypuff,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:jolteon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:joltik,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0595_joltik.json,,,
cobblemon:kabuto,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:kabutops,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:kangaskhan,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:kartana,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0798_kartana.json,,,
cobblemon:kingambit,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0983_kingambit.json,,,
cobblemon:koffing,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0109_koffing_galarian.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:kommoo,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:krabby,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:lairon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:leafeon,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/enhanced_celestials.json | safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:lickitung,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:litleo,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0667_litleo.json,,,
cobblemon:litten,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:lokix,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0920_lokix.json,,,
cobblemon:lucario,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:luxio,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:luxray,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:lycanroc,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0745_lycanroc.json,,,
cobblemon:machoke,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:machop,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:magikarp,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:magmar,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:magnemite,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:magneton,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:mandibuzz,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0630_mandibuzz.json,,,
cobblemon:marill,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:marowak,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:marshtomp,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:mawile,true,false,false,false,datapacks/Academy/data/cobblemon/spawn_pool_world/0303_mawile.json,,,
cobblemon:meganium,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:meowscarada,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:metagross,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:milotic,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:mimejr,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0439_mimejr_galarian.json,,,
cobblemon:mimikyu,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:minior,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0774_minior.json,,,
cobblemon:misdreavus,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:monferno,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ultra_rare.json,,
cobblemon:mothim,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0414_mothim.json,,,
cobblemon:mrmime,true,true,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0122_mrmime_galairan.json,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:mudkip,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:muk,true,false,false,false,datapacks/CCC_1.9.2/data/cobblemon/spawn_pool_world/0089_muk_alolan.json,,,
cobblemon:munchlax,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/rare.json,,
cobblemon:murkrow,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:natu,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/ucommon.json,,
cobblemon:nidoran,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:nidoranf,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:nidorina,false,true,false,false,,safari-dimension-0.0.11.jar!data/cobblemon/spawn_pool_world/safari/common.json,,
cobblemon:nihilego,true,false,false,false,datapacks/CCC_1.9.2/data/ultra_beasts_spawns/spawn_pool_world/0793_nihilego.json,,,
